Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
BG,meanRecall,cv_BG_train.meanRecall,0.822,Camera,Neg_Pos,2k
BG,meanFscore,cv_BG_train.meanFscore,0.802695505,Camera,Neg_Pos,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.807404644,Camera,Neg_Pos,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.809,Camera,Neg_Pos,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.807,Camera,Neg_Pos,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.806534188,Camera,Neg_Pos,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.8150484,Camera,Neg_Pos,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.793,Camera,Neg_Pos,2k
RF,meanRecall,cv_RF_train.meanRecall,0.848,Camera,Neg_Pos,2k
RF,meanFscore,cv_RF_train.meanFscore,0.819266864,Camera,Neg_Pos,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.49917617,Camera,Neg_Pos,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,Camera,Neg_Pos,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Neg_Pos,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.665499125,Camera,Neg_Pos,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.786962464,Camera,Neg_Pos,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.796,Camera,Neg_Pos,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.78,Camera,Neg_Pos,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.785690029,Camera,Neg_Pos,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.889462005,Camera,Neg_Pos,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.849,Camera,Neg_Pos,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.849,Camera,Neg_Pos,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.847871055,Camera,Neg_Pos,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.519878732,Camera,Part_Of_Speech,2k
